OBJECTID,Parcel,vacant_land_flag,excise_nbr,gross_sale_price,document_date,SHAPESTArea,SHAPESTLength
1,45061.0415,N,201600111,130000,2016/01/02 08:00:00+00,43521.3446579421,1070.77962991307
2,45202.0313,N,201600098,126000,2016/01/01 08:00:00+00,6375.12284834512,320.007757854407
3,35171.0410,N,201600107,322300,2016/01/04 08:00:00+00,7099.97272705913,383.999400119735
4,55074.1663,N,201600157,220000,2016/01/04 08:00:00+00,13251.9104069057,468.986786431062
5,24071.1601,N,201600145,235000,2016/01/04 08:00:00+00,10971.111758552,443.319209307214
6,35094.3812,N,201600151,102500,2016/01/04 08:00:00+00,6996.03557155191,379.842037013686
7,14181.1004,N,201600136,169000,2016/01/02 08:00:00+00,8305.00421687154,381.951893358805
8,35193.0309,N,201600123,229000,2016/01/04 08:00:00+00,7085.57194767151,383.798613079618
9,35193.0610,N,201600125,385000,2016/01/04 08:00:00+00,12135.0190240905,454.91792832791
10,36314.1119,N,201600144,157500,2016/01/04 08:00:00+00,6404.74959861407,356.185807429871
11,26131.1705,Y,201600156,85000,2016/01/04 08:00:00+00,17578.793870651,595.021798409446
12,45254.9105,N,201600235,787950,2016/01/05 08:00:00+00,66356.1415163265,1101.17950598572
13,45274.2016,N,201600187,180000,2016/01/05 08:00:00+00,11266.2931101708,430.364980252936
14,45331.1709,N,201600172,239900,2016/01/04 08:00:00+00,11049.5309739876,429.993219036848
15,35241.0807,N,201600227,112000,2016/01/05 08:00:00+00,7621.00693553897,374.04272780209
16,55171.0905,N,201600209,140000,2016/01/05 08:00:00+00,9922.92632462675,414.433584391065
17,44014.9052,N,201600207,415000,2016/01/05 08:00:00+00,227155.1597364,2486.95279324923
18,55112.9089,N,201600222,1624000,2016/01/04 08:00:00+00,28921.4289128546,749.549391590233
19,37274.1003,N,201600225,180000,2016/01/06 08:00:00+00,36926.2184369536,780.354645156445
20,56333.0710,N,201600190,145200,2016/01/04 08:00:00+00,16717.755134119,507.021988379145
21,37293.0509,N,201600232,228000,2016/01/06 08:00:00+00,10014.4240024557,500.776174345135
