OBJECTID,Parcel,vacant_land_flag,excise_nbr,gross_sale_price,document_date,GlobalID,prop_use_code,SHAPESTArea,SHAPESTLength
1,34031.2401,N,201700181,230000,2017/01/03 08:00:00+00,{FBC160A5-8682-428A-B703-22C390CBBA1B},11,11584.8271086119,425.813467363142
2,36191.1212,N,201700174,228000,2017/01/03 08:00:00+00,{0BCFEDA1-0055-48A4-96CE-BEB845D63CC3},12,13313.1432122055,470.276982154739
3,36302.1302,Y,201700145,10000,2017/01/03 08:00:00+00,{A3D0DA3C-380C-4B01-A1C5-DBE831A88673},91,13830.8262802956,476.49142096766
4,55224.2615,N,201700178,80000,2017/01/03 08:00:00+00,{88B42E57-257F-415C-9E80-B187632620DA},11,52555.6571498105,1439.31799389052
5,35213.1311,N,201700160,355000,2017/01/03 08:00:00+00,{14076F74-383A-4C57-A477-D791E3FE019E},91,6846.23491656701,373.995998818073
6,36324.0717,N,201700146,139000,2017/01/03 08:00:00+00,{1B008241-103D-4F5D-BE1B-6BEBE792C70C},11,4771.33972916083,319.436521254083
7,25024.1301,N,201700147,95000,2017/01/03 08:00:00+00,{AE135510-A862-4F2A-9017-34710B04010E},11,7122.99307257564,384.990324403945
8,55203.2406,Y,201700142,325475,2017/01/03 08:00:00+00,{110AC859-84BB-4144-848E-C21BF2A8464F},91,12538.5886910589,478.733319742937
9,45163.0294,N,201700301,222000,2017/01/03 08:00:00+00,{E31D250C-CD5F-4A15-BAEC-773B2B282F02},11,20869.0409797929,772.438981964149
10,45144.2345,N,201700306,3740000,2017/01/04 08:00:00+00,{AA2E5C03-8D73-43F6-BEB6-3769B5D59F86},63,142858.064666256,2050.00408973489
11,45213.0805,N,201700220,126000,2017/01/03 08:00:00+00,{77EEC1B6-DDDD-481F-B0DF-F39DDB915301},11,11184.7343303217,438.466443812869
12,45092.1206,N,201700279,180900,2017/01/03 08:00:00+00,{5F63665D-0763-416A-BEF0-015DEA9349D8},11,12749.7988263409,470.001147949286
13,45294.0702,N,201700326,140280,2017/01/03 08:00:00+00,{A8795E2B-BE84-4AD1-95CF-E2FC8856CF7F},11,12569.860060049,449.427166188283
14,45321.2305,N,201700274,320000,2017/01/05 08:00:00+00,{FACC3EB7-F623-47AE-B9E3-A11EE6F8DF77},11,15029.2950178429,548.043953899112
15,35131.0513,N,201700299,119500,2017/01/04 08:00:00+00,{26E3FA37-11CE-4A74-8F66-5FDA9B674B8E},11,11230.8648217167,410.872427214775
16,55073.2603,N,201700275,225000,2017/01/05 08:00:00+00,{3D5DF70F-B8CB-4DE8-B92F-F4E62FB835F6},11,9035.00201245636,408.001253371497
17,35123.0310,Y,201700259,291961,2017/01/05 08:00:00+00,{9539D520-774E-42E6-8C58-1A31F88022B1},91,19048.4405838777,553.999863982173
18,35123.0304,Y,201700259,291961,2017/01/05 08:00:00+00,{2A6DA23E-6765-41A2-AA8D-F2DAD3CB89D2},91,8999.23466621689,389.999796113929
19,35123.0303,Y,201700259,291961,2017/01/05 08:00:00+00,{4A8D90F2-51A1-49A0-AE41-37E1E077F36C},91,11998.9373869852,439.998871057481
20,35123.0302,N,201700259,291961,2017/01/05 08:00:00+00,{2873CB17-4AD7-46A1-8CCD-72D00E5E0730},91,23997.9550278047,640.000528395699
21,45134.1248,N,201700233,136000,2017/01/04 08:00:00+00,{7CF034A1-8CF4-49BA-922C-86748D0B13AF},11,5030.13169629635,300.964342345792
22,46313.0909,N,201700313,172500,2017/01/04 08:00:00+00,{63212D09-43A6-4119-8D53-30DB12E8D59F},11,12324.0883160571,453.399749819466
23,46325.1108,N,201700283,267000,2017/01/05 08:00:00+00,{72127ADF-355C-42EA-A4F4-2262384A8928},11,8400.81432917454,380.023088968711
24,35123.0305,Y,201700259,291961,2017/01/05 08:00:00+00,{7EFA3FD2-ABE1-4DD8-940A-F2C63AB7A36B},91,8999.22244755903,389.99977811255
25,36064.2212,N,201700276,290000,2017/01/01 08:00:00+00,{7B60E513-26B8-4501-9959-2C18D692EC1C},11,6347.48840149954,340.746395790559
26,25225.0511,Y,201700319,230000,2017/01/05 08:00:00+00,{E2AFF702-1748-4B0D-81BC-47300B778917},91,53696.0435973612,1017.0748260548
27,25225.0512,N,201700319,230000,2017/01/05 08:00:00+00,{A4A05E99-F79A-498C-901D-321DE327E3E9},18,150761.294393452,1699.80573703752
28,35031.0515,N,201700272,6952,2017/01/04 08:00:00+00,{549C019C-43F5-46F8-94EC-BAE4B53BAC43},11,21784.0790150899,597.77925366529
29,37204.9066,N,201700321,449900,2017/01/03 08:00:00+00,{4ECC583A-D631-4068-BA69-B1EE62ED19E9},11,162688.67096895,2360.40674845295
30,35152.2706,N,201700338,45000,2017/01/06 08:00:00+00,{BD8EB863-31EA-4925-B7D5-9966FEE5236D},55,7499.99412320224,349.99973993742
31,35223.0218,N,201700248,50889,2017/01/04 08:00:00+00,{0EEEA826-02F7-4122-B8BF-560561370363},11,4870.47861281496,308.378157353478
32,35271.4811,N,201700217,65113,2017/01/04 08:00:00+00,{198241A1-7AFB-49D4-9E29-5F3B109353F8},11,8700.23134752681,410.007361316722
33,35274.1727,N,201700226,114240,2017/01/03 08:00:00+00,{4DA04A99-73EF-4B1F-9706-799C36A3D2B0},11,6499.67880021015,359.976010745252
34,35341.1227,N,201700315,79000,2017/01/04 08:00:00+00,{F52AAEA4-2944-4D0D-8275-DEE8B39E3224},11,6497.42402768498,359.895350601447
35,29335.9028,Y,201700193,199500,2017/01/04 08:00:00+00,{A1186412-20CC-4740-BB30-7029425BEC64},83,1665011.60104773,6008.67206918786
36,17273.0108,N,201700294,222000,2017/01/03 08:00:00+00,{C31FD3E8-D776-4570-AF92-80254E0DF411},11,164623.31814346,1712.34684983292
37,13021.9013,Y,201700334,150000,2017/01/05 08:00:00+00,{0E74880D-D54C-4B74-BDBB-EA28374752DB},83,1973885.27896027,6789.08004531414
38,36334.0715,N,201700205,35000,2017/01/04 08:00:00+00,{BD45B56B-3511-464D-B762-226BB818B9D3},11,5943.45930134929,337.773130043826
39,35213.1615,N,201700343,87000,2017/01/04 08:00:00+00,{7BD97B1A-233E-45F3-9CE9-B7E70637103B},11,5783.04426145779,339.346603118352
40,36321.2522,N,201700227,88200,2017/01/03 08:00:00+00,{6558C2BB-0305-4247-A27B-821768761BDA},11,6220.31431009823,348.438193653064
41,35051.2406,N,201700199,65000,2017/01/04 08:00:00+00,{6D63A9F5-D149-4C97-AF63-B98B51ADB4B7},11,5091.96172056834,303.64005881479
42,35204.0115,N,201700282,102500,2017/01/04 08:00:00+00,{F461ABE1-84F1-4606-A1F2-7012F7B85D5E},11,6966.65053554953,377.980104670564
43,35293.2115,N,201700298,325000,2017/01/06 08:00:00+00,{9A76EC44-7BC4-4ACB-9875-7C5F1D81524C},11,6792.80204183402,370.685094526865
44,35101.5504,N,201700237,153000,2017/01/04 08:00:00+00,{3CAF6253-03F0-4DCD-B231-CF20E21A01D6},11,8200.5145031309,379.225570008051
45,36331.0152,Y,201700258,359000,2017/01/05 08:00:00+00,{77DD159B-7DC2-4B1E-AC1A-57C5FFD08639},91,14983.9429515212,565.17075238571
46,36331.0151,Y,201700258,359000,2017/01/05 08:00:00+00,{DFE2E1AD-554D-4C53-8425-954B3D2F5EC5},91,14972.0411665296,565.074933621564
47,36331.0150,Y,201700258,359000,2017/01/05 08:00:00+00,{AABEAAF2-2454-49C1-A049-B282CDA1EE2E},91,49722.7834244565,1130.59041247838
48,35302.1904,N,201700295,204500,2017/01/04 08:00:00+00,{89CF3ED7-5DF3-42F1-90E7-DACBA7DFB628},11,5029.75383853644,301.191626484954
49,35061.3101,N,201700199,65000,2017/01/04 08:00:00+00,{37310CFF-3B4A-429B-A8E9-9DC95285C368},11,6536.78259311873,359.345626317257
50,25124.5501,N,201700194,72000,2017/01/04 08:00:00+00,{B0008DA9-4F3D-439F-B085-C239D55F2B9B},11,6000.00798846176,340.000732073674
51,25014.0706,N,201700251,145000,2017/01/04 08:00:00+00,{BB0C1AF2-216F-4EFC-817D-FA7F9B3266F5},11,6000.14491029034,340.007873924462
52,25132.1231,N,201700304,120000,2017/01/06 08:00:00+00,{CCD4F849-0036-4A1A-8D94-66AC473D15B4},11,4890.97384019074,324.565546328545
53,25131.5228,N,201700260,32000,2017/01/04 08:00:00+00,{415A03E5-BDE5-4B9E-9487-07A8E08A2564},11,4801.33574929193,320.022637765135
54,25132.1213,N,201700307,120000,2017/01/06 08:00:00+00,{A2326CBC-43FF-4A92-B9C8-03E319504BA6},11,5406.332249517,342.497058567126
55,25251.1707,N,201700206,313000,2017/01/02 08:00:00+00,{F9786BC9-B001-4F94-9F81-99010896FEB3},11,15572.326520927,512.100077417267
56,25132.2926,N,201700228,110880,2017/01/03 08:00:00+00,{61CFC1AC-AEC1-417C-8FB5-94FAE15BE0F7},11,4799.85360856525,319.998981333273
57,37204.1301,Y,201700291,294559,2017/01/03 08:00:00+00,{377AFE0A-E7EE-4CEB-A119-76A1D796823D},91,6975.95232748584,353.013520742289
58,26351.2701,N,201700281,185500,2017/01/03 08:00:00+00,{C80CFF78-05A4-453B-A4B5-2797A8346FAA},11,10296.0751478832,401.608954626227
59,55084.4210,Y,201700273,224481,2017/01/03 08:00:00+00,{B32FA1F2-80EC-4C1F-B1F2-3148C82250E5},91,6730.68287801878,353.945964992345
60,33094.9053,Y,201700190,259000,2017/01/05 08:00:00+00,{5EDF4F9A-4E2C-4B61-8FE1-01E54BBD003F},91,46385.6422601948,1024.8103540964
61,33103.9052,Y,201700190,259000,2017/01/05 08:00:00+00,{1BCAC288-8E7B-4D7A-86FB-A482C53A713C},91,876737.7493957,5972.39750717746
62,33094.9055,Y,201700190,259000,2017/01/05 08:00:00+00,{99DB473F-A064-4BEE-BDEF-8831D24C9B49},91,98823.1325403031,1222.36687798476
63,33103.9054,Y,201700190,259000,2017/01/05 08:00:00+00,{F36962F3-E242-44A0-BBAF-CA9496F2F9C7},91,876710.81093702,5972.22965490508
64,26144.1904,Y,201700305,85000,2017/01/03 08:00:00+00,{3CD3D404-4526-424B-9537-AC5C8C9677FC},91,12656.8343969941,461.455974982065
65,26144.1903,Y,201700305,85000,2017/01/03 08:00:00+00,{E980B8DD-2469-4B54-8B73-20E620CEB900},91,16822.2473934605,569.482433464574
66,55211.2105,N,201700308,327000,2017/01/03 08:00:00+00,{652E75D6-518E-4A4E-BB19-3BFD0F7CB491},11,7705.3105639418,367.477723197158
67,35244.0714,N,201700335,96040,2017/01/04 08:00:00+00,{67ABADDC-BBE3-4E8B-A94D-6BF7DB64EE9F},11,6987.48094975494,379.564850197286
68,55211.2109,N,201700249,359900,2017/01/03 08:00:00+00,{F402C9AE-BE9D-4ECC-BFE3-E1D808150A57},11,11138.1383563437,468.601730596588
69,55104.9016,Y,201700320,210000,2017/01/05 08:00:00+00,{10D722A8-CB19-425F-8C80-5F9837457064},91,35578.0079522688,830.383876661473
70,29332.9007,Y,201700193,199500,2017/01/04 08:00:00+00,{9F724172-09E5-44C6-92F7-E296B2847C23},83,1690835.31618008,5113.39046507084
71,45331.3007,N,201700485,235000,2017/01/09 08:00:00+00,{08D50DB4-F7B2-45F9-B8E4-FE8AF7CE1B46},11,11744.9676317816,443.99896150965
72,45282.2314,N,201700499,235000,2017/01/09 08:00:00+00,{F82019CA-A2BD-4CA9-AA35-50E88F849F40},11,9749.95848134785,409.999141158687
73,45143.3304,N,201700529,140000,2017/01/10 08:00:00+00,{AE43C519-3C17-4FF2-9F1A-2959F3162AD6},11,10227.7360031763,406.524646478056
74,45054.0134,N,201700513,222900,2017/01/10 08:00:00+00,{239AB66A-E468-4D2B-BDD1-D8E11D9B9252},11,8463.45867251928,387.797389847858
75,45161.0111,N,201700496,119560,2017/01/09 08:00:00+00,{C26CBFB7-AE07-43A2-B922-91D4D280DDA1},11,11620.1033047504,453.295971099581
76,45082.1006,N,201700431,163500,2017/01/09 08:00:00+00,{37C6DB05-6C3E-4B2D-BDBD-AA06E4D9F668},11,10576.6506776442,432.03285312412
77,45091.2910,N,201700490,295000,2017/01/06 08:00:00+00,{299093E1-F763-4E17-AF67-6CB7F030CB58},91,6740.90333799448,355.631261833321
78,35141.1720,N,201700381,5250000,2017/01/09 08:00:00+00,{3C24F2F8-C302-4067-94C9-1D69C6A7221C},46,31249.8477674329,749.999642157552
79,35141.0915,N,201700381,5250000,2017/01/09 08:00:00+00,{023F952E-1C6F-4AD9-B654-AA9AD9F3CF9C},91,6649.94099045253,366.00024036748
80,44042.0601,N,201700440,275000,2017/01/09 08:00:00+00,{D357E9E4-F09D-4932-ADC0-C3876A545BDD},11,14163.0514320314,481.389118412933
81,35141.0916,N,201700381,5250000,2017/01/09 08:00:00+00,{59BC6A1E-CC83-4B1A-9197-215C8D3BBEB5},91,6649.94099045253,365.999584518253
82,35141.0922,N,201700381,5250000,2017/01/09 08:00:00+00,{05F2A571-BF82-48D8-857F-F52BBB42021A},34,36674.7701073999,776.000829934848
83,45211.2117,N,201700389,99000,2017/01/04 08:00:00+00,{70680B0D-9EE2-4106-BA50-7054C21182C2},18,22767.0099689619,751.165008530271
84,55302.2804,N,201700525,367500,2017/01/05 08:00:00+00,{62576BD8-B8E2-42AB-8EFF-A2B6ECBD680D},11,18582.945240122,572.299479736746
85,55194.0607,N,201700362,239900,2017/01/06 08:00:00+00,{5C05D66E-20BE-4173-A9A6-DC2FE1B800D5},11,10014.2771213588,408.493333047666
86,35241.3910,N,201700477,18000,2017/01/11 08:00:00+00,{D846B6AF-7AFC-408C-A70F-6A5B5D796827},18,9674.06474431966,407.999271440526
87,55166.0203,N,201700484,410000,2017/01/09 08:00:00+00,{0667A6CE-F1D5-46CF-92D3-637684AD3691},11,16449.9528459365,528.999217834892
88,55151.1156,N,201700535,126900,2017/01/04 08:00:00+00,{35BD28F2-7387-4415-A1F9-58B03C82A8ED},14,1470.04779785165,182.004630103122
89,34041.0101,N,201700398,12450000,2017/01/10 08:00:00+00,{A761BE44-FBAF-4F3E-8D35-0ADEF83B8AA9},13,117641.229813226,1378.59063600418
90,34031.0712,N,201700354,208000,2017/01/03 08:00:00+00,{C1B874C7-385E-4F4D-8961-D553F63B58BB},11,10034.2948679378,448.89818431221
91,34044.0143,N,201700398,12450000,2017/01/10 08:00:00+00,{98DC2681-F1B9-46C8-AF0D-98ECC4029F90},13,253900.939019386,2021.35672633765
92,34061.0928,N,201700545,184500,2017/01/09 08:00:00+00,{FA6DA605-4E76-409D-AC03-732366F5F70E},11,4465.98898312917,290.346623730178
93,44031.9148,N,201700457,382000,2017/01/10 08:00:00+00,{D3860CC6-A9E9-4524-8780-7AE2F249ECE2},11,312600.593493654,2474.70160567834
94,44233.0108,Y,201700534,13000,2017/01/11 08:00:00+00,{14BAD451-FA30-4D75-B6C2-EE23578EF3B5},91,13501.4825419583,480.034723800544
95,24074.1205,N,201700400,285000,2017/01/05 08:00:00+00,{352E0611-9CC1-4B16-8F53-5DA34F98FE8B},11,10698.0715122413,442.333928106013
96,36051.1802,Y,201700406,95000,2017/01/06 08:00:00+00,{475E9CF2-12CB-4143-BBAB-2E831BFA66CF},91,12439.6159415621,485.680006049557
97,36051.0327,Y,201700413,50000,2017/01/06 08:00:00+00,{B62D0DE2-9486-482D-AFFC-7228FE0737A5},91,6311.75974178339,331.222019648691
98,36055.0521,Y,201700405,125000,2017/01/09 08:00:00+00,{965F02AA-C11B-4B8F-991D-063B3831A994},91,9083.15724095994,384.64525756633
99,36055.0520,Y,201700405,125000,2017/01/09 08:00:00+00,{9435FA96-A87A-4F2E-B77A-02CFBB5B626E},91,8841.20987396155,380.716898637183
100,36272.0163,N,201700523,240000,2017/01/11 08:00:00+00,{CC4CC664-D480-47E9-9253-AA97D7AADCE7},11,40968.9320702636,1020.00059723449
101,36194.0150,N,201700539,153000,2017/01/10 08:00:00+00,{784672EE-1667-49AF-A3B9-B10BD57A7A03},11,10798.925009355,420.099077191389
102,36194.0482,N,201700366,249000,2017/01/03 08:00:00+00,{E882DFBF-1370-48E8-89C2-75D7B8C99401},11,19191.9723614889,584.825497731039
103,36303.0101,N,201700371,145000,2017/01/06 08:00:00+00,{FE834036-F28F-4F22-BA69-1D5DB16161EF},11,10954.5712538675,416.00946960792
104,26131.0205,N,201700518,224000,2017/01/10 08:00:00+00,{572AB0FF-E347-4CEC-8265-AFA7CD066877},11,10599.0692767982,417.387867490782
105,36173.1153,N,201700461,124000,2017/01/09 08:00:00+00,{AB9098E9-C4A2-4647-9B50-AFF1E4788C5B},11,9695.20718764753,428.37525576346
106,37265.0802,N,201700412,276000,2017/01/05 08:00:00+00,{ABCC411D-20A9-48E6-A54C-8AB65C4CD3A7},11,16561.2674732512,533.895008102225
107,37294.3709,N,201700408,383000,2017/01/06 08:00:00+00,{9BBE2E8F-47E0-4F2B-8BC0-B124D9E287BA},11,12745.208947696,453.835450850929
108,37294.3506,N,201700508,366500,2017/01/07 08:00:00+00,{02C6B533-49E1-402C-8076-1E5AB0DE1A2F},11,10849.7685989281,426.246603165709
109,45362.9040,N,201700373,236000,2017/01/06 08:00:00+00,{637BE91A-7907-45A2-8DC2-F44D1E17B042},11,87119.658856839,1252.25975788564
110,45154.1022,N,201700512,320000,2017/01/09 08:00:00+00,{04705255-1030-43CF-9DEE-7F375A889449},12,13446.0379743095,468.194687429741
111,28104.9001,N,201700465,290000,2017/01/05 08:00:00+00,{54727771-071E-4B81-A4CE-682EB93B4237},11,423261.60183881,2871.94112152421
