OBJECTID,Parcel,vacant_land_flag,excise_nbr,gross_sale_price,document_date,GlobalID,prop_use_code,ShapeSTArea,ShapeSTLength
28676,45364.9095,N,201900144,565000,2019/01/02 08:00:00+00,{20B283AF-1BAF-4212-9928-84C521597FC3},11,213324.786934177,2139.99885317728
28823,56311.0210,N,201900138,419700,2019/01/02 08:00:00+00,{A3CF3EC9-8DC9-413D-B108-E68F0A94E7C3},11,11920.8776134627,444.634978062608
28864,36046.9041,N,201900115,625000,2019/01/02 08:00:00+00,{3F3462BF-CD34-4830-9CC5-02892A420F00},11,244262.394569076,2469.13112832565
28895,36304.2009,N,201900147,79000,2019/01/02 08:00:00+00,{804801E4-2A01-4730-A50E-950C6BB43067},11,7680.03468284956,376.000551371571
28928,35033.1407,Y,201900104,219000,2019/01/02 08:00:00+00,{21C67AFF-E399-4C77-937D-F4120083D11C},91,6244.22309225627,349.773503399131
28981,26251.3205,Y,201900145,69900,2019/01/02 08:00:00+00,{1915E841-B52A-4F80-A6AE-24D701BE5672},91,17742.2556349855,556.923211459234
29181,35334.0309,N,201900132,145000,2019/01/02 08:00:00+00,{99DC0E24-E514-482B-ADB3-2524EDCE101D},11,9124.48539999443,406.53725547755
29196,36323.2607,N,201900108,120000,2019/01/02 08:00:00+00,{776C4312-E184-4482-81D3-47B70A1FFA18},11,6340.54184928156,353.795553509249
29231,35084.2214,N,201900130,113000,2019/01/02 08:00:00+00,{B8481014-4DD3-4366-AF67-E06F26413797},11,4783.07457792546,351.367212786646
29303,36313.0624,N,201900137,207650,2019/01/02 08:00:00+00,{941F8B25-782A-4F0A-929F-D9388950D994},11,5750.25403974149,329.999031730097
29375,25023.1008,N,201900125,281000,2019/01/02 08:00:00+00,{242B08D4-BA31-4300-92D8-0A779D0117DC},11,5230.23107082075,322.54510376922
29428,35244.2508,Y,201900142,278937,2019/01/02 08:00:00+00,{1CCBE969-653F-4C6F-AA31-B0DD3BBD485B},91,5608.77402488785,324.342194434975
29487,45032.9039,N,201900184,120000,2019/01/03 08:00:00+00,{5D1CA925-EF01-445C-B878-CC797D3C815D},11,15993.2348019143,520.000438062675
29489,44032.1303,N,201900178,319588,2019/01/03 08:00:00+00,{CCD039FB-E5A6-4961-A6B7-0F89760EF03F},11,15895.7849055888,537.150549763593
29490,46313.2310,N,201900200,399000,2019/01/02 08:00:00+00,{8D61D32A-641F-4FFA-91FB-4DD3E1900972},11,17233.658847747,564.168482413161
29491,34051.0608,N,201900188,357000,2019/01/03 08:00:00+00,{C956DE17-C902-4C87-9AFE-A3958D39CD32},11,10121.2468895022,413.032391309348
29495,26264.1805,N,201900173,252500,2019/01/01 08:00:00+00,{63933211-98A0-4A12-83BD-45D9DB509A8F},11,8747.05805705723,389.924324555905
29508,35221.1025,N,201900172,140000,2019/01/02 08:00:00+00,{A001145D-118E-4338-898F-69EE3CAF2097},18,6456.70301131641,358.111953009035
29509,56353.9177,N,201900176,199500,2019/01/03 08:00:00+00,{3F9A2E95-0895-4FE4-9F0A-6A1E9D127446},18,74837.9334709118,1580.72548487518
29510,35341.2433,N,201900198,213950,2019/01/03 08:00:00+00,{646F1680-A21C-4A11-AFBA-A273B9505075},11,6198.62775445928,347.948131210134
29511,35094.2820,N,201900168,165000,2019/01/02 08:00:00+00,{7F4A842E-C9E0-4975-8C99-E44FAB3B415F},11,6996.96450073224,379.878520709703
29512,38232.0802,N,201900192,370000,2019/01/04 08:00:00+00,{8DF19C75-760E-491E-A0A6-0C90D9D0AD63},11,187058.374531284,1811.45130714359
29515,36333.2807,Y,201900164,232000,2019/01/02 08:00:00+00,{0087E957-CF44-46DA-9F64-1E2A02509CAE},91,5465.15295846736,318.792246511061
29517,35081.2307,N,201900167,120000,2019/01/03 08:00:00+00,{7BB280BE-6185-419B-8142-03203400C714},12,6620.84527767879,364.702985873251
29519,26361.3018,N,201900163,167000,2019/01/02 08:00:00+00,{F9F22CC1-9463-4A25-B62B-9CB98460929F},11,8101.52886008174,390.063168366894
29521,45124.1009,N,201900171,202500,2019/01/01 08:00:00+00,{6B77A0C8-C178-4E70-81B5-41C9B8F93151},11,6031.14036158751,326.594812733504
29522,25264.0604,N,201900174,329000,2019/01/03 08:00:00+00,{8B618939-B942-4A38-9126-F4E35B78D005},11,9600.52761369803,400.013153386527
29524,26223.0903,Y,201900196,59000,2019/01/03 08:00:00+00,{80850EAC-BFF6-4F05-9AAF-4283AA40B10C},91,13104.7943674873,467.931598852501
29525,25133.3142,N,201900181,435000,2019/01/02 08:00:00+00,{E608381D-CEDC-4603-849C-C5CA27C02273},11,3912.20923891309,294.560027149424
29528,45364.9082,N,201900387,400000,2019/01/07 08:00:00+00,{59F3E0C3-5A63-4A10-B6B4-723EFBFE6C9F},11,217001.260698529,2189.2422024805
29529,45342.0310,N,201900845,227000,2019/01/16 08:00:00+00,{B8CF9723-65BF-483E-8AA6-815F987425B7},11,12532.0417775017,436.653430821254
29530,45254.2207,N,201900671,340000,2019/01/08 08:00:00+00,{52D0F0BF-5EE6-4FD9-A852-31C2D40D8224},11,10539.9219859767,417.998664674924
29531,45273.0311,N,201900580,274900,2019/01/14 08:00:00+00,{B85D7B57-0CAC-4F74-A330-40E94526091F},11,12253.0640441771,440.208416555831
29532,45263.3710,N,201900474,392250,2019/01/07 08:00:00+00,{A2400E90-A05B-4A07-A5F3-536D385175C3},11,12715.9396388216,446.225300212272
29533,45271.2453,N,201900248,268500,2019/01/07 08:00:00+00,{C6F6C22E-FA83-443E-B024-0B87F311A705},11,14120.034476135,482.400809705118
29534,45272.1818,N,201900907,225000,2019/01/16 08:00:00+00,{58929646-C029-41F9-8B0D-5FA2252C96E0},11,11421.5426964835,440.213211891768
