OBJECTID,Parcel,vacant_land_flag,excise_nbr,gross_sale_price,document_date,prop_use_code,ShapeSTArea,ShapeSTLength
1,13122.2101,Y,202100224,550000,2021/01/04 08:00:00+00,91,8772.33070166982,377.248011463742
2,13122.2102,Y,202100224,550000,2021/01/04 08:00:00+00,91,6758.76020235707,370.350642329082
3,13122.2103,Y,202100224,550000,2021/01/04 08:00:00+00,91,6759.2304524183,370.369993431973
4,13122.2104,Y,202100224,550000,2021/01/04 08:00:00+00,91,6759.5069758479,370.380313196594
5,13122.2105,Y,202100224,550000,2021/01/04 08:00:00+00,91,6759.74734070223,370.390061028227
6,13122.2106,Y,202100224,550000,2021/01/04 08:00:00+00,91,6760.24489293629,370.410037617153
7,13122.2201,Y,202100224,550000,2021/01/04 08:00:00+00,91,7801.78009686172,374.399437613636
8,13122.2202,Y,202100224,550000,2021/01/04 08:00:00+00,91,7695.19855886376,397.075997405306
9,13122.2203,Y,202100224,550000,2021/01/04 08:00:00+00,91,8441.60480327225,454.178302340389
10,13122.2204,Y,202100224,550000,2021/01/04 08:00:00+00,91,14167.4421294549,586.526925122257
11,13122.2205,Y,202100224,550000,2021/01/04 08:00:00+00,91,17489.34909106,536.161330989717
12,13122.2206,Y,202100224,550000,2021/01/04 08:00:00+00,91,7500.03249009252,400.00047588921
13,15231.4308,Y,202100188,326034,2021/01/04 08:00:00+00,91,7765.69630756069,386.241738441786
14,26241.4707,N,202100160,375000,2021/01/04 08:00:00+00,11,6597.86998911904,350.001576130245
15,26263.0705,N,202100152,275900,2021/01/04 08:00:00+00,11,9912.51100490708,401.405040930309
16,29363.0218,N,202100212,419900,2021/01/04 08:00:00+00,11,9988.09132965586,409.701689864469
17,35051.1806,N,202100239,217000,2021/01/05 08:00:00+00,11,5096.83271267877,303.913430900281
18,35064.1016,N,202100142,280000,2021/01/04 08:00:00+00,11,5998.72823099176,339.951587989945
19,35212.4313,N,202100226,225000,2021/01/05 08:00:00+00,11,9122.21482627344,412.722634826667
20,35272.1502,N,202100232,273000,2021/01/04 08:00:00+00,11,9268.84993259986,451.558747961643
21,36323.1023,N,202100219,252500,2021/01/04 08:00:00+00,12,6455.39585496024,358.245231127063
22,45063.2702,N,202100241,225000,2021/01/04 08:00:00+00,11,15150.0116405185,502.000258189182
23,47322.9026,N,202100217,845000,2021/01/04 08:00:00+00,11,429795.832688877,3264.70641614063
24,56314.1613,Y,202100199,55000,2021/01/04 08:00:00+00,91,12182.5825423001,453.671224626738
25,56314.1805,Y,202100187,72500,2021/01/04 08:00:00+00,91,14962.6215954417,491.657395612662
26,56332.0410,Y,202100205,570000,2021/01/04 08:00:00+00,91,44952.1643323943,899.388230454971
27,06103.9010,Y,202100352,183000,2021/01/02 08:00:00+00,91,160691.625379685,1786.24894663649
28,06106.9028,Y,202100352,183000,2021/01/02 08:00:00+00,91,304682.83447532,2404.15992984842
29,25134.5330,N,202100289,570000,2021/01/04 08:00:00+00,11,5127.2004830438,336.359840360441
30,25182.9041,Y,202100334,89900,2021/01/06 08:00:00+00,91,436915.634991331,2644.03357195743
31,26221.2610,Y,202100333,95000,2021/01/05 08:00:00+00,91,10890.911974813,465.65268144407
32,26353.2522,N,202100285,183000,2021/01/04 08:00:00+00,11,8624.93430510904,444.997329388615
33,28024.1903,N,202100325,269000,2021/01/06 08:00:00+00,11,7894.81482077454,360.528327353037
34,28244.9036,Y,202100355,90000,2021/01/06 08:00:00+00,91,523899.100062707,3441.51138710762
35,34042.1114,N,202100293,623500,2021/01/06 08:00:00+00,11,11199.7065756983,416.432510259842
36,34311.9034,Y,202100275,148000,2021/01/04 08:00:00+00,91,209673.762548851,2160.09071815245
37,35041.0206,N,202100258,227000,2021/01/05 08:00:00+00,11,10521.9876506701,410.426375181512
38,35042.1806,N,202100307,225000,2021/01/05 08:00:00+00,11,6750.39552767499,370.006225171024
39,35042.2005,N,202100267,202000,2021/01/05 08:00:00+00,11,6749.84719248347,369.997638623093
40,35044.0250,N,202100264,214000,2021/01/06 08:00:00+00,11,5987.58518885775,339.499526775103
41,35044.0349,N,202100288,194500,2021/01/05 08:00:00+00,11,6462.95804775597,358.550744486813
42,35084.2304,N,202100319,315000,2021/01/05 08:00:00+00,11,7100.00534098522,384.000231543576
43,35101.4021,N,202100274,312000,2021/01/05 08:00:00+00,11,7270.42772499741,363.261041424691
44,35101.4043,Y,202100274,312000,2021/01/05 08:00:00+00,91,1867.06809489454,280.184086338713
45,35244.0508,N,202100296,293750,2021/01/05 08:00:00+00,11,8756.97973823119,399.473004064511
46,35272.0806,N,202100268,260000,2021/01/04 08:00:00+00,11,6232.24429911321,349.086248790293
